entry,exit_ema,vol_floor,side,net_%,cagr_%,sharpe,max_dd_%,profit_factor,trades,positive_month_%,months,selection_score
16,32,0.45,long,-97.48925312892757,-67.10990817957845,-2.595046312868975,-97.81543460805578,0.9143622538806994,1458.0,20.0,40.0,-3.573200658949533
16,32,0.3,long,-98.02832632062533,-69.42361940409609,-2.629840893558235,-98.19383981092031,0.9214566017463431,1887.0,20.0,40.0,-3.611779291667438
64,16,0.45,both,-98.87876189262212,-74.21278918819814,-2.6239944670126865,-99.00594139620105,0.88864230772702,1347.0,2.5,40.0,-3.614053880974697
16,16,0.6,long,-95.2703278614455,-60.18306882983681,-2.670962039822639,-96.05858687038923,0.8817854729001046,1069.0,17.5,40.0,-3.631547908526531
48,16,0.6,both,-98.88353213042109,-74.24594867405031,-2.7309517507567693,-99.12080877364548,0.8684406162113143,1024.0,7.5,40.0,-3.722159838493224
48,16,0.45,both,-99.27012536964665,-77.34654653740255,-2.7431493544665853,-99.39171896657393,0.8922986556376973,1580.0,10.0,40.0,-3.7370665441323245
48,16,0.3,both,-99.39734719625622,-78.61887248597034,-2.7501826299319183,-99.48383368430413,0.9027194401886494,2006.0,10.0,40.0,-3.74502096677496
32,32,0.45,both,-99.78858693972083,-84.41408131058958,-2.8882819156433324,-99.81775242984588,0.915936303427945,1806.0,12.5,40.0,-3.8864594399417913
32,32,0.6,both,-99.65640003415925,-81.95371328511185,-2.9030606215336667,-99.73142086398748,0.8972849208384448,1179.0,7.5,40.0,-3.9003748301735417
32,32,0.3,both,-99.85216660207732,-86.00910728469809,-2.9508277249606354,-99.86723426121998,0.9222559162371357,2311.0,17.5,40.0,-3.9495000675728353
32,16,0.6,both,-99.65487887448519,-81.9296389318058,-3.270794382029861,-99.69852502935584,0.8615940605514303,1329.0,5.0,40.0,-4.267779632323419
16,16,0.45,long,-98.48985692140569,-71.78806643284484,-3.3316321466327583,-98.69835077438609,0.8777766963600286,1666.0,12.5,40.0,-4.318615654376619
16,32,0.6,both,-99.92523583945324,-88.61089495320367,-3.400861971897948,-99.94293332250741,0.8953215351198641,1876.0,7.5,40.0,-4.400291305123022
32,16,0.45,both,-99.83530424769728,-85.54551302573023,-3.4050052799334405,-99.85384367260099,0.8819830521790615,2046.0,5.0,40.0,-4.403543716659451
16,16,0.3,long,-98.93785062705741,-74.63070258853519,-3.428505297211963,-99.04825625824601,0.8863439428094966,2153.0,10.0,40.0,-4.418987859794423
32,16,0.3,both,-99.89310097372365,-87.31318091314103,-3.5079975960384657,-99.90105056381368,0.8906139900067871,2617.0,10.0,40.0,-4.507008101676602
16,32,0.45,both,-99.98106827066934,-92.47569067810922,-3.74198643745051,-99.98314636500216,0.9053434781170121,2907.0,7.5,40.0,-4.741817901100531
16,16,0.6,both,-99.94639414054348,-89.69885299388456,-3.9223823982068233,-99.95197297858755,0.8638152493964563,2098.0,5.0,40.0,-4.921902127992698
16,32,0.3,both,-99.99221963224412,-94.24671946460268,-3.996956429050401,-99.99268985308211,0.9088947708259343,3756.0,5.0,40.0,-4.996883327581222
16,16,0.45,both,-99.9915449924599,-94.10050801626055,-4.525624408441106,-99.99227426638373,0.8715620208390252,3275.0,2.5,40.0,-5.525547151104943
16,16,0.3,both,-99.99713362925165,-95.74366446633019,-4.878895908953239,-99.99720334434807,0.8758857314415799,4220.0,2.5,40.0,-5.878867942396719
